step 0: classification- train loss 0.0565, classification-val loss 0.0566
iter 222: loss 0.1307, time 8848.41ms, mfu 0.46%
iter 223: loss 0.0604, time 8961.35ms, mfu 0.46%
iter 224: loss 0.0195, time 8853.40ms, mfu 0.46%
iter 225: loss 0.0037, time 8851.89ms, mfu 0.46%
iter 226: loss 0.0094, time 8855.13ms, mfu 0.46%
iter 227: loss 0.0059, time 8860.53ms, mfu 0.46%
iter 228: loss 0.0075, time 8950.26ms, mfu 0.46%
iter 229: loss 0.0732, time 8862.12ms, mfu 0.46%
iter 230: loss 0.0226, time 8854.29ms, mfu 0.46%
iter 231: loss 0.0027, time 8854.23ms, mfu 0.46%
iter 232: loss 0.0110, time 8867.07ms, mfu 0.46%
iter 233: loss 0.0251, time 8850.36ms, mfu 0.46%
iter 234: loss 0.0029, time 8964.48ms, mfu 0.46%
iter 235: loss 0.0106, time 8851.86ms, mfu 0.46%
iter 236: loss 0.0180, time 8851.59ms, mfu 0.46%
iter 237: loss 0.0030, time 8858.78ms, mfu 0.46%
iter 238: loss 0.0030, time 8854.60ms, mfu 0.46%
iter 239: loss 0.0080, time 8966.53ms, mfu 0.46%
iter 240: loss 0.0008, time 8842.13ms, mfu 0.46%
iter 241: loss 0.0300, time 8857.62ms, mfu 0.46%
iter 242: loss 0.0008, time 8866.85ms, mfu 0.46%
iter 243: loss 0.0066, time 8854.45ms, mfu 0.46%
iter 244: loss 0.0005, time 8915.71ms, mfu 0.46%
iter 245: loss 0.0016, time 8894.64ms, mfu 0.46%
iter 246: loss 0.0028, time 8871.16ms, mfu 0.46%
iter 247: loss 0.0018, time 8851.68ms, mfu 0.46%
iter 248: loss 0.0020, time 8857.49ms, mfu 0.46%
iter 249: loss 0.0034, time 8857.00ms, mfu 0.46%
iter 250: loss 0.0008, time 8961.38ms, mfu 0.46%
iter 251: loss 0.0014, time 8858.62ms, mfu 0.46%
iter 252: loss 0.0119, time 8848.36ms, mfu 0.46%
iter 253: loss 0.0084, time 8857.38ms, mfu 0.46%
iter 254: loss 0.0025, time 8859.23ms, mfu 0.46%
iter 255: loss 0.0129, time 8965.85ms, mfu 0.46%
iter 256: loss 0.0037, time 8847.33ms, mfu 0.46%
iter 257: loss 0.0017, time 8850.78ms, mfu 0.46%
iter 258: loss 0.0035, time 8866.54ms, mfu 0.46%
iter 259: loss 0.0159, time 8842.77ms, mfu 0.46%
iter 260: loss 0.1940, time 8861.97ms, mfu 0.46%
iter 261: loss 0.0008, time 8974.77ms, mfu 0.46%
iter 262: loss 0.0010, time 8852.93ms, mfu 0.46%
iter 263: loss 0.0078, time 8844.06ms, mfu 0.46%
iter 264: loss 0.0065, time 8864.25ms, mfu 0.46%
iter 265: loss 0.0704, time 8853.79ms, mfu 0.46%
iter 266: loss 0.0109, time 8965.24ms, mfu 0.46%
iter 267: loss 0.0224, time 8852.62ms, mfu 0.46%
iter 268: loss 0.0842, time 8860.58ms, mfu 0.46%
iter 269: loss 0.0014, time 8847.11ms, mfu 0.46%
iter 270: loss 0.0022, time 8848.48ms, mfu 0.46%
iter 271: loss 0.0117, time 8859.30ms, mfu 0.46%
iter 272: loss 0.0085, time 8957.94ms, mfu 0.46%
iter 273: loss 0.0136, time 8865.97ms, mfu 0.46%
iter 274: loss 0.0007, time 8857.17ms, mfu 0.46%
iter 275: loss 0.0027, time 8851.42ms, mfu 0.46%
iter 276: loss 0.0036, time 8850.68ms, mfu 0.46%
iter 277: loss 0.0008, time 8955.96ms, mfu 0.46%
iter 278: loss 0.0008, time 8852.54ms, mfu 0.46%
iter 279: loss 0.0014, time 8858.93ms, mfu 0.46%
iter 280: loss 0.0005, time 8855.97ms, mfu 0.46%
iter 281: loss 0.0272, time 8854.02ms, mfu 0.46%
iter 282: loss 0.0016, time 8864.15ms, mfu 0.46%
iter 283: loss 0.0006, time 8972.23ms, mfu 0.46%
iter 284: loss 0.0006, time 8857.35ms, mfu 0.46%
iter 285: loss 0.0007, time 8874.95ms, mfu 0.46%
iter 286: loss 0.0005, time 8882.34ms, mfu 0.46%
iter 287: loss 0.0017, time 8866.60ms, mfu 0.46%
iter 288: loss 0.0006, time 8981.77ms, mfu 0.46%
iter 289: loss 0.0005, time 8860.99ms, mfu 0.46%
iter 290: loss 0.0075, time 8865.99ms, mfu 0.46%
iter 291: loss 0.0012, time 8882.96ms, mfu 0.46%
iter 292: loss 0.0012, time 8856.61ms, mfu 0.46%
