step 0: classification- train loss 0.0552, classification-val loss 0.0531
iter 140: loss 0.7097, time 3186.80ms, mfu 0.44%
iter 141: loss 0.6886, time 3246.42ms, mfu 0.44%
iter 142: loss 0.3411, time 3194.62ms, mfu 0.44%
iter 143: loss 0.0861, time 3184.42ms, mfu 0.44%
iter 144: loss 0.1173, time 3215.36ms, mfu 0.44%
iter 145: loss 0.2354, time 3193.13ms, mfu 0.44%
iter 146: loss 0.4884, time 3247.30ms, mfu 0.44%
iter 147: loss 0.2013, time 3230.41ms, mfu 0.44%
iter 148: loss 0.2524, time 3198.56ms, mfu 0.44%
iter 149: loss 0.4386, time 3212.46ms, mfu 0.44%
iter 150: loss 0.0395, time 3210.92ms, mfu 0.44%
iter 151: loss 0.1382, time 3230.35ms, mfu 0.44%
iter 152: loss 0.4915, time 3263.87ms, mfu 0.44%
iter 153: loss 0.3127, time 3210.65ms, mfu 0.44%
iter 154: loss 0.1896, time 3211.90ms, mfu 0.44%
iter 155: loss 0.0722, time 3216.78ms, mfu 0.44%
iter 156: loss 0.0699, time 3193.86ms, mfu 0.44%
iter 157: loss 0.1436, time 3238.51ms, mfu 0.44%
iter 158: loss 0.1013, time 3192.92ms, mfu 0.44%
iter 159: loss 0.0706, time 3197.84ms, mfu 0.44%
iter 160: loss 0.4601, time 3216.68ms, mfu 0.44%
iter 161: loss 0.2464, time 3193.56ms, mfu 0.44%
iter 162: loss 0.0725, time 3212.10ms, mfu 0.44%
iter 163: loss 0.4760, time 3233.19ms, mfu 0.44%
iter 164: loss 0.1658, time 3197.63ms, mfu 0.44%
iter 165: loss 0.2352, time 3196.92ms, mfu 0.44%
iter 166: loss 0.0865, time 3200.04ms, mfu 0.44%
iter 167: loss 0.2629, time 3208.06ms, mfu 0.44%
iter 168: loss 0.0569, time 3243.59ms, mfu 0.44%
iter 169: loss 0.0707, time 3203.78ms, mfu 0.44%
iter 170: loss 0.1171, time 3217.87ms, mfu 0.44%
iter 171: loss 0.1456, time 3191.17ms, mfu 0.44%
iter 172: loss 0.0585, time 3213.48ms, mfu 0.44%
iter 173: loss 0.0448, time 3210.95ms, mfu 0.44%
iter 174: loss 0.2246, time 3230.80ms, mfu 0.44%
iter 175: loss 0.1952, time 3198.64ms, mfu 0.44%
iter 176: loss 0.2279, time 3218.03ms, mfu 0.44%
iter 177: loss 0.2182, time 3208.43ms, mfu 0.44%
iter 178: loss 0.1797, time 3202.32ms, mfu 0.44%
iter 179: loss 0.1358, time 3245.72ms, mfu 0.44%
iter 180: loss 0.0808, time 3198.09ms, mfu 0.44%
iter 181: loss 0.0842, time 3209.64ms, mfu 0.44%
iter 182: loss 0.2796, time 3217.26ms, mfu 0.44%
iter 183: loss 0.2257, time 3211.58ms, mfu 0.44%
iter 184: loss 0.3245, time 3211.63ms, mfu 0.44%
iter 185: loss 0.0683, time 3247.12ms, mfu 0.44%
iter 186: loss 0.1635, time 3199.35ms, mfu 0.44%
iter 187: loss 0.0942, time 3212.33ms, mfu 0.44%
iter 188: loss 0.1082, time 3222.55ms, mfu 0.44%
iter 189: loss 0.2881, time 3213.49ms, mfu 0.44%
iter 190: loss 0.0611, time 3236.82ms, mfu 0.44%
iter 191: loss 0.1520, time 3216.76ms, mfu 0.44%
iter 192: loss 0.1855, time 3205.39ms, mfu 0.44%
iter 193: loss 0.1508, time 3218.59ms, mfu 0.44%
iter 194: loss 0.1381, time 3215.36ms, mfu 0.44%
iter 195: loss 0.0698, time 3231.16ms, mfu 0.44%
iter 196: loss 0.0615, time 3230.11ms, mfu 0.44%
iter 197: loss 0.1299, time 3212.16ms, mfu 0.44%
iter 198: loss 0.0248, time 3216.39ms, mfu 0.44%
iter 199: loss 0.1376, time 3205.38ms, mfu 0.44%
iter 200: loss 0.1111, time 3221.19ms, mfu 0.44%
iter 201: loss 0.0245, time 3243.65ms, mfu 0.44%
iter 202: loss 0.0476, time 3234.10ms, mfu 0.44%
iter 203: loss 0.1429, time 3211.55ms, mfu 0.44%
iter 204: loss 0.0723, time 3234.64ms, mfu 0.44%
iter 205: loss 0.0210, time 3195.53ms, mfu 0.44%
iter 206: loss 0.0185, time 3270.75ms, mfu 0.44%
iter 207: loss 0.0358, time 3220.14ms, mfu 0.44%
iter 208: loss 0.1224, time 3217.27ms, mfu 0.44%
iter 209: loss 0.0579, time 3212.27ms, mfu 0.44%
iter 210: loss 0.0822, time 3224.92ms, mfu 0.44%
iter 211: loss 0.0691, time 3213.30ms, mfu 0.44%
iter 212: loss 0.1246, time 3287.15ms, mfu 0.44%
iter 213: loss 0.0427, time 3225.00ms, mfu 0.44%
iter 214: loss 0.0164, time 3245.14ms, mfu 0.44%
iter 215: loss 0.0195, time 3251.86ms, mfu 0.44%
iter 216: loss 0.2304, time 3242.91ms, mfu 0.44%
iter 217: loss 0.0194, time 3290.27ms, mfu 0.44%
iter 218: loss 0.2459, time 3246.92ms, mfu 0.44%
iter 219: loss 0.0223, time 3259.78ms, mfu 0.44%
iter 220: loss 0.0435, time 3238.03ms, mfu 0.44%
iter 221: loss 0.1186, time 3265.89ms, mfu 0.44%
iter 222: loss 0.1575, time 3263.42ms, mfu 0.44%
iter 223: loss 0.0233, time 3289.09ms, mfu 0.44%
iter 224: loss 0.0221, time 3244.63ms, mfu 0.44%
iter 225: loss 0.0112, time 3280.92ms, mfu 0.44%
iter 226: loss 0.0469, time 3261.84ms, mfu 0.44%
iter 227: loss 0.0195, time 3250.29ms, mfu 0.44%
iter 228: loss 0.0326, time 3293.52ms, mfu 0.43%
iter 229: loss 0.0426, time 3247.60ms, mfu 0.43%
iter 230: loss 0.1608, time 3270.23ms, mfu 0.43%
iter 231: loss 0.0210, time 3273.62ms, mfu 0.43%
iter 232: loss 0.0095, time 3256.93ms, mfu 0.43%
iter 233: loss 0.0069, time 3255.94ms, mfu 0.43%
iter 234: loss 0.0448, time 3283.72ms, mfu 0.43%
iter 235: loss 0.0157, time 3259.90ms, mfu 0.43%
iter 236: loss 0.0621, time 3261.01ms, mfu 0.43%
iter 237: loss 0.1311, time 3283.57ms, mfu 0.43%
iter 238: loss 0.0207, time 3244.51ms, mfu 0.43%
iter 239: loss 0.0135, time 3319.10ms, mfu 0.43%
iter 240: loss 0.0273, time 3244.33ms, mfu 0.43%
iter 241: loss 0.0132, time 3262.27ms, mfu 0.43%
iter 242: loss 0.0438, time 3253.51ms, mfu 0.43%
iter 243: loss 0.0384, time 3255.38ms, mfu 0.43%
iter 244: loss 0.0057, time 3279.28ms, mfu 0.43%
iter 245: loss 0.0134, time 3278.00ms, mfu 0.43%
iter 246: loss 0.2092, time 3255.25ms, mfu 0.43%
